titulo,artista,duracao,album,genero
Long board,Adele,4.1,30,Pop
Four gas,Imagine Dragons,3.2,Mercury,Rock
Way general,Maroon 5,3.45,V,Pop
Cup,Dua Lipa,2.58,Future Nostalgia,Pop
Beat media,Bruno Mars,3.22,24K Magic,R&B
Golden Dream 1,Ariana Vale,2.0,First Light,Pop
Silent Dream 2,Ruby Moon,2.62,Golden Hour,Electronic
Broken Dream 3,Mason Reed,3.23,Neon Days,Alternative
Midnight Dream 4,The North Lights,3.85,Wild Heart,Lo-Fi
Electric Dream 5,The Quiet Sons,4.47,Open Roads,Indie
Wild Dream 6,Clara West,5.08,Winter Notes,Folk
Hidden Dream 7,Maya Stone,5.7,Midnight Radio,Jazz
Bright Dream 8,Ethan Ray,6.32,Hidden Places,Rock
Velvet Dream 9,Violet Storm,2.6,Signal Lost,R&B
Crystal Dream 10,Liam Archer,3.22,Endless Route,Hip-Hop
Falling Dream 11,Luna Vale,3.83,Northbound,Pop
Burning Dream 12,Daniel Cruz,4.45,After Rain,Electronic
Distant Dream 13,Nova Echo,5.07,Lunar Tide,Alternative
Open Dream 14,Noah Carter,5.68,Quiet Storm,Lo-Fi
Shadow Dream 15,Mila Harper,6.3,Velvet Noise,Indie
Rapid Dream 16,Sofia Lane,2.58,Blue Horizon,Folk
Endless Dream 17,Indie Harbor,3.2,Summer Glass,Jazz
Blue Dream 18,The Daybreaks,3.82,Paper Trails,Rock
Paper Dream 19,Atlas Bloom,4.43,Crystal Frames,R&B
Northern Dream 20,Olivia Fox,5.05,City Echoes,Hip-Hop
Neon Dream 21,Ariana Vale,5.67,First Light,Pop
Lunar Dream 22,Ruby Moon,6.28,Golden Hour,Electronic
Autumn Dream 23,Mason Reed,2.57,Neon Days,Alternative
Winter Dream 24,The North Lights,3.18,Wild Heart,Lo-Fi
Summer Dream 25,The Quiet Sons,3.8,Open Roads,Indie
Empty Dream 26,Clara West,4.42,Winter Notes,Folk
